final_cluster_id,week,complaint_count
253.0,2017-06-05,1
253.0,2017-06-12,1
253.0,2017-06-19,1
253.0,2017-07-17,2
253.0,2017-07-31,1
253.0,2017-08-21,2
254,2015-04-06,1
254,2015-05-18,1
254,2016-04-25,1
254,2016-06-20,1
254,2016-07-11,1
254,2016-07-25,1
254,2016-09-19,1
254,2016-10-24,1
254,2016-11-07,3
254,2016-11-14,5
254,2016-11-21,2
254,2016-12-19,1
254,2017-01-02,1
254,2017-03-20,2
254,2017-04-10,1
254,2017-04-17,2
254,2017-05-08,1
254,2017-05-22,1
254.0,2016-06-20,1
254.0,2016-07-25,1
254.0,2016-10-24,1
254.0,2016-11-07,1
254.0,2016-11-28,1
254.0,2017-05-29,2
254.0,2017-07-10,1
254.0,2017-07-17,2
254.0,2017-07-24,1
254.0,2017-07-31,1
254.0,2017-08-14,1
255,2015-03-23,3
255,2015-03-30,4
255,2015-04-06,8
255,2015-04-13,5
255,2015-04-20,3
255,2015-04-27,3
255,2015-05-04,2
255,2015-05-11,4
255,2015-05-18,1
255,2015-05-25,4
255,2015-06-01,3
255,2015-06-08,1
255,2015-06-15,4
255,2015-06-22,2
255,2015-06-29,1
255,2015-07-06,5
255,2015-07-13,4
255,2015-07-20,1
255,2015-07-27,3
255,2015-08-03,3
255,2015-08-10,2
255,2015-08-17,3
255,2015-08-24,3
255,2015-08-31,1
255,2015-09-07,1
255,2015-09-14,1
255,2015-09-21,1
255,2015-09-28,1
255,2015-10-05,5
255,2015-10-12,2
255,2015-10-19,3
255,2015-11-09,1
255,2015-11-16,1
255,2015-11-23,1
255,2015-11-30,1
255,2015-12-07,3
255,2015-12-14,1
255,2015-12-21,1
255,2016-01-04,1
255,2016-01-18,1
255,2016-02-08,1
255,2016-02-15,1
255,2016-02-22,3
255,2016-03-07,3
255,2016-03-14,1
255,2016-03-21,2
255,2016-04-11,1
255,2016-04-18,3
255,2016-04-25,1
255,2016-05-02,1
255,2016-05-09,3
255,2016-05-16,1
255,2016-05-30,1
255,2016-06-06,1
255,2016-06-13,2
255,2016-06-27,4
255,2016-07-04,2
255,2016-07-11,4
255,2016-07-25,1
255,2016-08-22,2
255,2016-09-12,2
255,2016-09-19,2
255,2016-10-03,4
255,2016-10-17,1
255,2016-10-24,1
255,2016-11-07,3
255,2016-11-14,3
255,2016-11-28,1
255,2016-12-05,1
255,2016-12-12,1
255,2016-12-19,1
255,2016-12-26,1
255,2017-01-16,1
255,2017-02-20,1
255,2017-02-27,1
255,2017-03-27,1
255,2017-04-03,1
255,2017-04-10,3
255,2017-04-17,3
255,2017-04-24,4
255,2017-05-01,2
255,2017-05-08,1
255,2017-05-15,2
255,2017-05-29,2
255,2017-06-05,1
255,2017-06-19,1
255,2017-07-03,1
255.0,2015-03-23,1
255.0,2015-04-06,1
255.0,2015-04-13,1
255.0,2015-05-11,2
255.0,2015-05-18,2
255.0,2015-06-01,1
255.0,2015-06-08,1
255.0,2015-06-15,1
255.0,2015-06-22,1
255.0,2015-06-29,1
255.0,2015-07-13,1
255.0,2015-07-20,2
255.0,2015-08-31,1
255.0,2015-09-28,1
255.0,2015-10-05,1
255.0,2015-11-02,1
255.0,2015-12-07,2
255.0,2016-03-28,2
255.0,2016-06-13,1
255.0,2016-07-18,1
255.0,2016-09-05,1
255.0,2016-09-26,1
255.0,2016-10-10,1
255.0,2016-10-31,1
255.0,2016-11-28,1
255.0,2016-12-19,1
255.0,2017-01-02,1
255.0,2017-01-09,3
255.0,2017-01-16,2
255.0,2017-01-23,1
255.0,2017-01-30,5
255.0,2017-02-06,3
255.0,2017-02-13,3
255.0,2017-02-20,2
255.0,2017-02-27,2
255.0,2017-03-06,4
255.0,2017-03-13,5
255.0,2017-03-20,1
255.0,2017-03-27,4
255.0,2017-04-03,1
255.0,2017-04-10,2
255.0,2017-05-01,1
255.0,2017-05-15,3
255.0,2017-05-22,1
255.0,2017-05-29,2
255.0,2017-06-05,1
255.0,2017-06-19,1
255.0,2017-06-26,2
255.0,2017-07-03,3
255.0,2017-07-10,3
255.0,2017-07-17,3
255.0,2017-07-24,3
255.0,2017-07-31,2
256,2015-07-27,1
256,2015-08-03,1
256,2015-10-05,1
256,2015-10-12,1
256,2015-11-16,3
256,2015-11-23,1
256,2015-11-30,1
256,2015-12-14,1
256,2015-12-21,1
256,2016-01-25,1
256,2016-02-01,2
256,2016-02-08,1
256,2016-02-29,3
256,2016-03-07,3
256,2016-03-14,5
256,2016-04-04,1
256,2016-04-11,1
256,2016-06-06,1
256,2016-08-22,1
256,2016-09-05,1
256,2016-09-19,1
256,2016-12-12,1
256,2017-01-09,1
256,2017-01-23,1
256,2017-01-30,1
256,2017-03-13,1
256,2017-03-20,1
256,2017-04-03,1
256,2017-04-10,1
256,2017-04-17,2
256,2017-05-08,1
256.0,2015-07-20,1
256.0,2015-10-12,1
256.0,2016-04-25,1
256.0,2017-05-29,1
256.0,2017-06-26,1
256.0,2017-07-03,1
256.0,2017-07-10,1
256.0,2017-08-14,2
257,2015-03-16,1
257,2015-04-06,1
257,2015-04-13,2
257,2015-04-27,1
257,2015-05-11,1
257,2015-05-18,8
257,2015-05-25,2
257,2015-06-01,3
257,2015-06-08,3
257,2015-06-15,1
257,2015-06-29,1
257,2015-07-20,3
257,2015-07-27,4
257,2015-08-31,2
257,2015-09-07,5
257,2015-09-28,1
257,2015-10-19,1
257,2015-11-02,3
257,2015-11-09,2
257,2015-11-23,1
257,2015-11-30,2
257,2015-12-14,1
257,2016-01-04,2
257,2016-01-11,3
257,2016-01-18,2
257,2016-02-01,1
257,2016-02-08,1
257,2016-02-15,2
257,2016-02-22,1
257,2016-02-29,1
257,2016-03-07,4
257,2016-03-14,2
257,2016-03-21,4
257,2016-03-28,1
257,2016-04-04,2
257,2016-04-11,5
257,2016-05-02,2
257,2016-05-16,3
257,2016-05-23,2
257,2016-05-30,1
257,2016-06-06,1
257,2016-06-20,1
257,2016-07-25,1
257,2016-08-01,3
257,2016-08-08,3
257,2016-08-15,1
257,2016-08-22,1
257,2016-08-29,3
257,2016-09-12,2
257,2016-09-19,4
257,2016-09-26,2
257,2016-10-03,1
257,2016-10-10,4
257,2016-10-17,1
257,2016-10-24,2
257,2016-10-31,1
257,2016-11-07,1
257,2016-11-28,3
257,2016-12-05,1
257,2016-12-12,3
257,2016-12-19,1
257,2016-12-26,1
257,2017-01-09,2
257,2017-01-23,1
257,2017-02-06,1
257,2017-02-20,2
257,2017-02-27,3
257,2017-03-20,1
257,2017-03-27,1
257,2017-04-03,1
257,2017-04-10,5
257,2017-04-17,5
257,2017-04-24,2
257,2017-05-01,6
257,2017-05-08,2
257,2017-05-15,3
257,2017-06-05,2
257,2017-06-12,2
257.0,2015-03-30,1
257.0,2015-04-13,1
257.0,2015-05-04,1
257.0,2015-06-01,1
257.0,2015-06-08,1
257.0,2015-06-22,1
257.0,2015-07-27,3
257.0,2015-09-07,1
257.0,2015-09-14,1
257.0,2015-09-21,1
257.0,2015-09-28,1
257.0,2015-10-19,1
257.0,2015-11-02,1
257.0,2015-11-09,1
257.0,2015-11-16,1
257.0,2015-12-14,1
257.0,2016-02-01,1
257.0,2016-02-08,1
257.0,2016-02-15,1
257.0,2016-02-22,2
257.0,2016-03-14,2
257.0,2016-04-04,1
257.0,2016-04-25,2
257.0,2016-05-16,1
257.0,2016-07-04,2
257.0,2016-08-08,1
257.0,2016-08-29,2
257.0,2016-10-24,2
257.0,2016-11-07,1
257.0,2016-11-21,2
257.0,2016-11-28,1
257.0,2016-12-19,1
257.0,2017-01-02,1
257.0,2017-01-16,1
257.0,2017-01-23,1
257.0,2017-03-27,2
257.0,2017-05-08,3
257.0,2017-05-15,5
257.0,2017-05-22,5
257.0,2017-06-05,4
257.0,2017-06-12,4
257.0,2017-06-26,2
257.0,2017-07-03,3
257.0,2017-07-10,1
257.0,2017-07-17,1
257.0,2017-07-24,5
257.0,2017-07-31,8
257.0,2017-08-14,1
257.0,2017-08-21,6
257.0,2017-09-04,1
258,2015-03-16,2
258,2015-03-23,2
